Parser errors:
IOService.h: (1435:5) Unable to convert: 'IOServiceInterestHandlerBlock'
IOService.h: (1435:42) Unable to convert: ')'
IOService.h: (1435:43) Unable to convert: ';'
IOService.h: (1438:1) Unable to convert: 'virtual'
IOService.h: (1438:9) Unable to convert: 'void'
IOService.h: (1438:14) Unable to convert: 'applyToProviders'
IOService.h: (1438:30) Unable to convert: '('
IOService.h: (1438:32) Unable to convert: 'IOServiceApplierFunction'
IOService.h: (1438:57) Unable to convert: 'applier'
IOService.h: (1438:64) Unable to convert: ','
IOService.h: (1439:5) Unable to convert: 'void'
IOService.h: (1439:10) Unable to convert: '*'
IOService.h: (1439:12) Unable to convert: 'context'
IOService.h: (1439:20) Unable to convert: ')'
IOService.h: (1435:35) Unable to convert: 'handler'
IOService.h: (1415:9) Unable to convert: 'IOReturn'
IOService.h: (1415:1) Unable to convert: 'virtual'
IOService.h: (1404:29) Unable to convert: ';'
IOService.h: (1329:5) Unable to convert: 'IOInterruptActionBlock'
IOService.h: (1329:28) Unable to convert: 'handler'
IOService.h: (1329:35) Unable to convert: ')'
IOService.h: (1329:36) Unable to convert: ';'
IOService.h: (1338:1) Unable to convert: 'virtual'
IOService.h: (1338:9) Unable to convert: 'IOReturn'
IOService.h: (1338:18) Unable to convert: 'unregisterInterrupt'
IOService.h: (1338:37) Unable to convert: '('
IOService.h: (1338:38) Unable to convert: 'int'
IOService.h: (1338:42) Unable to convert: 'source'
IOService.h: (1338:48) Unable to convert: ')'
IOService.h: (1338:49) Unable to convert: ';'
IOService.h: (1345:1) Unable to convert: 'IOReturn'
IOService.h: (1345:10) Unable to convert: 'addInterruptStatistics'
IOService.h: (1345:32) Unable to convert: '('
IOService.h: (1345:33) Unable to convert: 'IOInterruptAccountingData'
IOService.h: (1345:59) Unable to convert: '*'
IOService.h: (1345:61) Unable to convert: 'statistics'
IOService.h: (1345:71) Unable to convert: ','
IOService.h: (1345:73) Unable to convert: 'int'
IOService.h: (1345:77) Unable to convert: 'source'
IOService.h: (1345:83) Unable to convert: ')'
IOService.h: (1345:84) Unable to convert: ';'
IOService.h: (1351:1) Unable to convert: 'IOReturn'
IOService.h: (1351:10) Unable to convert: 'removeInterruptStatistics'
IOService.h: (1351:35) Unable to convert: '('
IOService.h: (1351:36) Unable to convert: 'int'
IOService.h: (1328:61) Unable to convert: ','
IOService.h: (1328:55) Unable to convert: 'target'
IOService.h: (1328:54) Unable to convert: '*'
IOService.h: (1328:45) Unable to convert: 'OSObject'
IOService.h: (1302:48) Unable to convert: ';'
IOService.h: (1315:1) Unable to convert: 'virtual'
IOService.h: (1315:9) Unable to convert: 'IOReturn'
IOService.h: (1315:18) Unable to convert: 'registerInterrupt'
IOService.h: (1315:35) Unable to convert: '('
IOService.h: (1315:36) Unable to convert: 'int'
IOService.h: (1315:40) Unable to convert: 'source'
IOService.h: (1315:46) Unable to convert: ','
IOService.h: (1315:48) Unable to convert: 'OSObject'
IOService.h: (1315:57) Unable to convert: '*'
IOService.h: (1315:58) Unable to convert: 'target'
IOService.h: (1315:64) Unable to convert: ','
IOService.h: (1316:5) Unable to convert: 'IOInterruptAction'
IOService.h: (1351:40) Unable to convert: 'source'
IOService.h: (1316:23) Unable to convert: 'handler'
IOService.h: (1317:5) Unable to convert: 'void'
IOService.h: (1317:10) Unable to convert: '*'
IOService.h: (1317:11) Unable to convert: 'refCon'
IOService.h: (1317:18) Unable to convert: '='
IOService.h: (1317:20) Unable to convert: 'NULL'
IOService.h: (1317:24) Unable to convert: ')'
IOService.h: (1317:25) Unable to convert: ';'
IOService.h: (1328:1) Unable to convert: 'IOReturn'
IOService.h: (1328:10) Unable to convert: 'registerInterruptBlock'
IOService.h: (1328:32) Unable to convert: '('
IOService.h: (1328:33) Unable to convert: 'int'
IOService.h: (1328:37) Unable to convert: 'source'
IOService.h: (1328:43) Unable to convert: ','
IOService.h: (1316:30) Unable to convert: ','
IOService.h: (1351:46) Unable to convert: ')'
IOService.h: (1351:47) Unable to convert: ';'
IOService.h: (1359:1) Unable to convert: 'virtual'
IOService.h: (1383:37) Unable to convert: 'source'
IOService.h: (1383:43) Unable to convert: ')'
IOService.h: (1383:44) Unable to convert: ';'
IOService.h: (1391:1) Unable to convert: 'virtual'
IOService.h: (1391:9) Unable to convert: 'IOReturn'
IOService.h: (1391:18) Unable to convert: 'requestProbe'
IOService.h: (1391:30) Unable to convert: '('
IOService.h: (1391:32) Unable to convert: 'IOOptionBits'
IOService.h: (1391:45) Unable to convert: 'options'
IOService.h: (1391:53) Unable to convert: ')'
IOService.h: (1391:54) Unable to convert: ';'
IOService.h: (1403:1) Unable to convert: 'virtual'
IOService.h: (1403:9) Unable to convert: 'IOReturn'
IOService.h: (1383:33) Unable to convert: 'int'
IOService.h: (1403:18) Unable to convert: 'message'
IOService.h: (1403:27) Unable to convert: 'UInt32'
IOService.h: (1403:34) Unable to convert: 'type'
IOService.h: (1403:38) Unable to convert: ','
IOService.h: (1403:40) Unable to convert: 'IOService'
IOService.h: (1403:50) Unable to convert: '*'
IOService.h: (1403:52) Unable to convert: 'provider'
IOService.h: (1403:60) Unable to convert: ','
IOService.h: (1404:5) Unable to convert: 'void'
IOService.h: (1404:10) Unable to convert: '*'
IOService.h: (1404:12) Unable to convert: 'argument'
IOService.h: (1404:21) Unable to convert: '='
IOService.h: (1404:23) Unable to convert: 'NULL'
IOService.h: (1404:28) Unable to convert: ')'
IOService.h: (1403:25) Unable to convert: '('
IOService.h: (1449:33) Unable to convert: 'const'
IOService.h: (1383:32) Unable to convert: '('
IOService.h: (1383:9) Unable to convert: 'IOReturn'
IOService.h: (1359:9) Unable to convert: 'IOReturn'
IOService.h: (1359:18) Unable to convert: 'getInterruptType'
IOService.h: (1359:34) Unable to convert: '('
IOService.h: (1359:35) Unable to convert: 'int'
IOService.h: (1359:39) Unable to convert: 'source'
IOService.h: (1359:45) Unable to convert: ','
IOService.h: (1359:47) Unable to convert: 'int'
IOService.h: (1359:51) Unable to convert: '*'
IOService.h: (1359:52) Unable to convert: 'interruptType'
IOService.h: (1359:65) Unable to convert: ')'
IOService.h: (1359:66) Unable to convert: ';'
IOService.h: (1367:1) Unable to convert: 'virtual'
IOService.h: (1367:9) Unable to convert: 'IOReturn'
IOService.h: (1383:18) Unable to convert: 'causeInterrupt'
IOService.h: (1367:18) Unable to convert: 'enableInterrupt'
IOService.h: (1367:34) Unable to convert: 'int'
IOService.h: (1367:38) Unable to convert: 'source'
IOService.h: (1367:44) Unable to convert: ')'
IOService.h: (1367:45) Unable to convert: ';'
IOService.h: (1375:1) Unable to convert: 'virtual'
IOService.h: (1375:9) Unable to convert: 'IOReturn'
IOService.h: (1375:18) Unable to convert: 'disableInterrupt'
IOService.h: (1375:34) Unable to convert: '('
IOService.h: (1375:35) Unable to convert: 'int'
IOService.h: (1375:39) Unable to convert: 'source'
IOService.h: (1375:45) Unable to convert: ')'
IOService.h: (1375:46) Unable to convert: ';'
IOService.h: (1383:1) Unable to convert: 'virtual'
IOService.h: (1367:33) Unable to convert: '('
IOService.h: (1302:47) Unable to convert: ')'
IOService.h: (1449:39) Unable to convert: 'OSSymbol'
IOService.h: (1449:50) Unable to convert: 'typeOfInterest'
IOService.h: (1515:46) Unable to convert: 'ns'
IOService.h: (1515:48) Unable to convert: ')'
IOService.h: (1515:49) Unable to convert: ';'
IOService.h: (1522:0) Unable to convert: 'private'
IOService.h: (1522:7) Unable to convert: ':'
IOService.h: (1523:1) Unable to convert: 'APPLE_KEXT_COMPATIBILITY_VIRTUAL'
IOService.h: (1524:1) Unable to convert: 'bool'
IOService.h: (1524:6) Unable to convert: 'checkResources'
IOService.h: (1524:20) Unable to convert: '('
IOService.h: (1524:22) Unable to convert: 'void'
IOService.h: (1524:27) Unable to convert: ')'
IOService.h: (1524:28) Unable to convert: ';'
IOService.h: (1525:1) Unable to convert: 'APPLE_KEXT_COMPATIBILITY_VIRTUAL'
IOService.h: (1526:1) Unable to convert: 'bool'
IOService.h: (1526:6) Unable to convert: 'checkResource'
IOService.h: (1526:19) Unable to convert: '('
IOService.h: (1526:21) Unable to convert: 'OSObject'
IOService.h: (1526:30) Unable to convert: '*'
IOService.h: (1526:32) Unable to convert: 'matching'
IOService.h: (1526:41) Unable to convert: ')'
IOService.h: (1526:42) Unable to convert: ';'
IOService.h: (1528:1) Unable to convert: 'APPLE_KEXT_COMPATIBILITY_VIRTUAL'
IOService.h: (1529:1) Unable to convert: 'void'
IOService.h: (1529:6) Unable to convert: 'probeCandidates'
IOService.h: (1529:21) Unable to convert: '('
IOService.h: (1529:23) Unable to convert: 'LIBKERN_CONSUMED'
IOService.h: (1529:40) Unable to convert: 'OSOrderedSet'
IOService.h: (1515:37) Unable to convert: 'uint32_t'
IOService.h: (1515:36) Unable to convert: '('
IOService.h: (1515:12) Unable to convert: 'requireMaxInterruptDelay'
IOService.h: (1515:1) Unable to convert: 'IOReturn'
IOService.h: (1500:39) Unable to convert: 'rtn'
IOService.h: (1500:43) Unable to convert: ')'
IOService.h: (1500:44) Unable to convert: ';'
IOService.h: (1508:1) Unable to convert: 'int'
IOService.h: (1508:19) Unable to convert: '_numInterruptSources'
IOService.h: (1508:39) Unable to convert: ';'
IOService.h: (1509:1) Unable to convert: 'IOInterruptSource'
IOService.h: (1509:19) Unable to convert: '*'
IOService.h: (1509:20) Unable to convert: '_interruptSources'
IOService.h: (1509:37) Unable to convert: ';'
IOService.h: (1512:1) Unable to convert: 'virtual'
IOService.h: (1512:9) Unable to convert: 'bool'
IOService.h: (1512:14) Unable to convert: 'serializeProperties'
IOService.h: (1529:53) Unable to convert: '*'
IOService.h: (1512:33) Unable to convert: '('
IOService.h: (1512:47) Unable to convert: '*'
IOService.h: (1512:49) Unable to convert: 's'
IOService.h: (1512:51) Unable to convert: ')'
IOService.h: (1512:53) Unable to convert: 'const'
IOService.h: (1512:59) Unable to convert: 'APPLE_KEXT_OVERRIDE'
IOService.h: (1512:78) Unable to convert: ';'
IOService.h: (1514:1) Unable to convert: 'IOReturn'
IOService.h: (1514:12) Unable to convert: 'requireMaxBusStall'
IOService.h: (1514:30) Unable to convert: '('
IOService.h: (1514:31) Unable to convert: 'UInt32'
IOService.h: (1514:38) Unable to convert: 'ns'
IOService.h: (1514:40) Unable to convert: ')'
IOService.h: (1514:41) Unable to convert: ';'
IOService.h: (1512:35) Unable to convert: 'OSSerialize'
IOService.h: (1500:30) Unable to convert: 'IOReturn'
IOService.h: (1529:55) Unable to convert: 'matches'
IOService.h: (1529:64) Unable to convert: ';'
IOService.h: (1541:43) Unable to convert: ','
IOService.h: (1541:45) Unable to convert: 'bool'
IOService.h: (1541:50) Unable to convert: 'changesOK'
IOService.h: (1541:60) Unable to convert: '='
IOService.h: (1541:62) Unable to convert: 'false'
IOService.h: (1541:67) Unable to convert: ')'
IOService.h: (1541:68) Unable to convert: ';'
IOService.h: (1542:1) Unable to convert: 'APPLE_KEXT_COMPATIBILITY_VIRTUAL'
IOService.h: (1543:1) Unable to convert: 'void'
IOService.h: (1543:6) Unable to convert: 'startMatching'
IOService.h: (1543:19) Unable to convert: '('
IOService.h: (1543:21) Unable to convert: 'IOOptionBits'
IOService.h: (1543:34) Unable to convert: 'options'
IOService.h: (1543:42) Unable to convert: '='
IOService.h: (1543:44) Unable to convert: '0'
IOService.h: (1543:46) Unable to convert: ')'
IOService.h: (1543:47) Unable to convert: ';'
